Razão Social,CNPJ,Linhas de Fornecimento,Tipo,Situação Documento,Documento,Status,Data de Vencimento,Situação Análise Documento
BROOKS AMBIENTAL LTDA,03938048000133,"PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESCARTE DE RESIDUOS",SERVICO,REGULAR,Cartão CNPJ,A vencer,2027-07-02T00:00:00Z,NÃO ANALISADO
BROOKS AMBIENTAL LTDA,03938048000133,"PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESCARTE DE RESIDUOS",SERVICO,REGULAR,Certidão Negativa de Débitos Trabalhistas,A vencer,2026-12-29T00:00:00Z,NÃO ANALISADO
BROOKS AMBIENTAL LTDA,03938048000133,"PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESCARTE DE RESIDUOS",SERVICO,REGULAR,Comprovante de Inscrição Sintegra,A vencer,2027-07-02T00:00:00Z,NÃO ANALISADO
BROOKS AMBIENTAL LTDA,03938048000133,"PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESCARTE DE RESIDUOS",SERVICO,REGULAR,IBAMA - Certidão Negativa de Débitos,A vencer,2026-08-01T00:00:00Z,NÃO ANALISADO
BROOKS AMBIENTAL LTDA,03938048000133,"PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESCARTE DE RESIDUOS",SERVICO,REGULAR,IBAMA - Certidão Negativa de Embargos,A vencer,2026-08-01T00:00:00Z,NÃO ANALISADO
BROOKS AMBIENTAL LTDA,03938048000133,"PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESCARTE DE RESIDUOS",SERVICO,REGULAR,IBAMA - Consulta de Regularidade,A vencer,2026-07-13T00:00:00Z,NÃO ANALISADO
CALHAS REIS LTDA,76324110000170,PRESTAÇÃO DE SERVIÇOS DE ESTRUTURAS METÁLICAS,SERVICO,REGULAR,CERTIDÃO JUDICIAL CRIMINAL - TRF,A vencer,2026-09-30T00:00:00Z,NÃO ANALISADO
CALHAS REIS LTDA,76324110000170,PRESTAÇÃO DE SERVIÇOS DE ESTRUTURAS METÁLICAS,SERVICO,REGULAR,CERTIDÃO JUDICIAL CÍVEL - TRF,A vencer,2026-09-30T00:00:00Z,NÃO ANALISADO
CALHAS REIS LTDA,76324110000170,PRESTAÇÃO DE SERVIÇOS DE ESTRUTURAS METÁLICAS,SERVICO,ALERTA,CERTIDÃO NEGATIVA RECEITA ESTADUAL,A vencer,,NÃO ANALISADO
CALHAS REIS LTDA,76324110000170,PRESTAÇÃO DE SERVIÇOS DE ESTRUTURAS METÁLICAS,SERVICO,REGULAR,CERTIFICADO DE REGULARIDADE FGTS,A vencer,2026-07-16T00:00:00Z,NÃO ANALISADO
CALHAS REIS LTDA,76324110000170,PRESTAÇÃO DE SERVIÇOS DE ESTRUTURAS METÁLICAS,SERVICO,REGULAR,CND Federal,A vencer,2026-12-29T00:00:00Z,NÃO ANALISADO
CALHAS REIS LTDA,76324110000170,PRESTAÇÃO DE SERVIÇOS DE ESTRUTURAS METÁLICAS,SERVICO,REGULAR,Cartão CNPJ,A vencer,2027-07-02T00:00:00Z,NÃO ANALISADO
CALHAS REIS LTDA,76324110000170,PRESTAÇÃO DE SERVIÇOS DE ESTRUTURAS METÁLICAS,SERVICO,REGULAR,Certidão Negativa de Débitos Trabalhistas,A vencer,2026-12-29T00:00:00Z,NÃO ANALISADO
CALHAS REIS LTDA,76324110000170,PRESTAÇÃO DE SERVIÇOS DE ESTRUTURAS METÁLICAS,SERVICO,REGULAR,Comprovante de Inscrição Sintegra,A vencer,2027-07-02T00:00:00Z,NÃO ANALISADO
CENTRO SANEAMENTO E SERVICOS AVANCADOS LTDA,61603387000165,PRESTAÇÃO DE SERVIÇOS DE APOIO OPERACIONAL PARA MOVIMENTAÇÃO DE EQUIPAMENTOS,SERVICO,REGULAR,CERTIDÃO JUDICIAL CRIMINAL - TRF,A vencer,2026-09-30T00:00:00Z,NÃO ANALISADO
CENTRO SANEAMENTO E SERVICOS AVANCADOS LTDA,61603387000165,PRESTAÇÃO DE SERVIÇOS DE APOIO OPERACIONAL PARA MOVIMENTAÇÃO DE EQUIPAMENTOS,SERVICO,IRREGULAR,CERTIDÃO JUDICIAL CÍVEL - TRF,A vencer,2026-09-30T00:00:00Z,NÃO ANALISADO
CENTRO SANEAMENTO E SERVICOS AVANCADOS LTDA,61603387000165,PRESTAÇÃO DE SERVIÇOS DE APOIO OPERACIONAL PARA MOVIMENTAÇÃO DE EQUIPAMENTOS,SERVICO,REGULAR,CERTIDÃO NEGATIVA RECEITA ESTADUAL,A vencer,2027-01-02T00:00:00Z,NÃO ANALISADO
CENTRO SANEAMENTO E SERVICOS AVANCADOS LTDA,61603387000165,PRESTAÇÃO DE SERVIÇOS DE APOIO OPERACIONAL PARA MOVIMENTAÇÃO DE EQUIPAMENTOS,SERVICO,REGULAR,CERTIFICADO DE REGULARIDADE FGTS,A vencer,2026-07-29T00:00:00Z,NÃO ANALISADO
CENTRO SANEAMENTO E SERVICOS AVANCADOS LTDA,61603387000165,PRESTAÇÃO DE SERVIÇOS DE APOIO OPERACIONAL PARA MOVIMENTAÇÃO DE EQUIPAMENTOS,SERVICO,ALERTA,CND Federal,A vencer,,NÃO ANALISADO
CENTRO SANEAMENTO E SERVICOS AVANCADOS LTDA,61603387000165,PRESTAÇÃO DE SERVIÇOS DE APOIO OPERACIONAL PARA MOVIMENTAÇÃO DE EQUIPAMENTOS,SERVICO,REGULAR,Cartão CNPJ,A vencer,2027-07-02T00:00:00Z,NÃO ANALISADO
CENTRO SANEAMENTO E SERVICOS AVANCADOS LTDA,61603387000165,PRESTAÇÃO DE SERVIÇOS DE APOIO OPERACIONAL PARA MOVIMENTAÇÃO DE EQUIPAMENTOS,SERVICO,REGULAR,Certidão Negativa de Débitos Trabalhistas,A vencer,2026-12-29T00:00:00Z,NÃO ANALISADO
CENTRO SANEAMENTO E SERVICOS AVANCADOS LTDA,61603387000165,PRESTAÇÃO DE SERVIÇOS DE APOIO OPERACIONAL PARA MOVIMENTAÇÃO DE EQUIPAMENTOS,SERVICO,REGULAR,Comprovante de Inscrição Sintegra,A vencer,2027-07-02T00:00:00Z,NÃO ANALISADO
CONTROLLER BMS COMERCIO E SERVICOS PARA AUTOMACAO LTDA,07230898000133,PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO DAS CÂMERAS DE VIGILÂNCIA,SERVICO,REGULAR,CERTIDÃO JUDICIAL CRIMINAL - TRF,A vencer,2026-09-23T00:00:00Z,NÃO ANALISADO
CONTROLLER BMS COMERCIO E SERVICOS PARA AUTOMACAO LTDA,07230898000133,PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO DAS CÂMERAS DE VIGILÂNCIA,SERVICO,REGULAR,CERTIDÃO JUDICIAL CÍVEL - TRF,A vencer,2026-09-23T00:00:00Z,NÃO ANALISADO
CONTROLLER BMS COMERCIO E SERVICOS PARA AUTOMACAO LTDA,07230898000133,PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO DAS CÂMERAS DE VIGILÂNCIA,SERVICO,REGULAR,CERTIDÃO NEGATIVA RECEITA ESTADUAL,A vencer,2026-12-25T00:00:00Z,NÃO ANALISADO
CONTROLLER BMS COMERCIO E SERVICOS PARA AUTOMACAO LTDA,07230898000133,PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO DAS CÂMERAS DE VIGILÂNCIA,SERVICO,REGULAR,CERTIFICADO DE REGULARIDADE FGTS,A vencer,2026-07-29T00:00:00Z,NÃO ANALISADO
CONTROLLER BMS COMERCIO E SERVICOS PARA AUTOMACAO LTDA,07230898000133,PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO DAS CÂMERAS DE VIGILÂNCIA,SERVICO,IRREGULAR,CND Federal,A vencer,2026-12-22T00:00:00Z,NÃO ANALISADO
CONTROLLER BMS COMERCIO E SERVICOS PARA AUTOMACAO LTDA,07230898000133,PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO DAS CÂMERAS DE VIGILÂNCIA,SERVICO,REGULAR,Cartão CNPJ,A vencer,2027-06-25T00:00:00Z,NÃO ANALISADO
CONTROLLER BMS COMERCIO E SERVICOS PARA AUTOMACAO LTDA,07230898000133,PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO DAS CÂMERAS DE VIGILÂNCIA,SERVICO,REGULAR,Certidão Negativa de Débitos Trabalhistas,A vencer,2026-12-22T00:00:00Z,NÃO ANALISADO
CONTROLLER BMS COMERCIO E SERVICOS PARA AUTOMACAO LTDA,07230898000133,PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO DAS CÂMERAS DE VIGILÂNCIA,SERVICO,REGULAR,Comprovante de Inscrição Sintegra,A vencer,2027-06-25T00:00:00Z,NÃO ANALISADO
CORPUS SANEAMENTO E OBRAS LTDA,31733363000160,"PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESCARTE DE RESIDUOS",SERVICO,ALERTA,CERTIDÃO JUDICIAL CRIMINAL - TRF,A vencer,,NÃO ANALISADO
CORPUS SANEAMENTO E OBRAS LTDA,31733363000160,"PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESCARTE DE RESIDUOS",SERVICO,REGULAR,CERTIDÃO JUDICIAL CÍVEL - TRF,A vencer,2026-09-30T00:00:00Z,NÃO ANALISADO
CORPUS SANEAMENTO E OBRAS LTDA,31733363000160,"PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESCARTE DE RESIDUOS",SERVICO,ALERTA,CERTIDÃO NEGATIVA RECEITA ESTADUAL,A vencer,,NÃO ANALISADO
CORPUS SANEAMENTO E OBRAS LTDA,31733363000160,"PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESCARTE DE RESIDUOS",SERVICO,REGULAR,CERTIFICADO DE REGULARIDADE FGTS,A vencer,2026-07-29T00:00:00Z,NÃO ANALISADO
CORPUS SANEAMENTO E OBRAS LTDA,31733363000160,"PRESTAÇÃO DE SERVIÇOS DE COLETA, TRANSPORTE E DESCARTE DE RESIDUOS",SERVICO,ALERTA,CND Federal,A vencer,,NÃO ANALISADO
