Razão Social,CNPJ,Situação da Última Solicitação,Linhas de Fornecimento,Tipo,Documento,Status,Data de Vencimento,Situação Análise Documento
ALPES ENGENHARIA LTDA,04812571000181,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,DCTFWEB,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,DECLARAÇÃO DE EXISTÊNCIA DE SUBCONTRATAÇÃO,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,FOPAG - (FOLHA DE PAGAMENTO + RESUMO),Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,GFD - GUIA DO FGTS DIGITAL MENSAL,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,GRRF - GUIA DE RECOLHIMENTO RESCISÓRIO DO FGTS,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,KIT RESCISÃO,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,Laudo de Periculosidade,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,Laudo de insalubridade,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,PCMSO,A vencer,2026-09-15T00:00:00Z,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,PGR,A vencer,2026-09-15T00:00:00Z,NÃO ANALISADO
