Razão Social,CNPJ,Situação da Última Solicitação,Linhas de Fornecimento,Tipo,Situação Documento,Documento,Marcas e Representações,Status,Data de Vencimento,Situação Análise Documento
ALPES ENGENHARIA LTDA,04812571000181,APROVADO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,REGULAR,Certidão Negativa de Débitos Trabalhistas,,Vencido,2026-06-21T00:00:00-04:00,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,APROVADO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,REGULAR,Comprovante de Inscrição Sintegra,,A vencer,2026-12-23T00:00:00-04:00,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,APROVADO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,,DCTFWEB,,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,APROVADO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,,DECLARAÇÃO DE EXISTÊNCIA DE SUBCONTRATAÇÃO,,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,APROVADO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,,FOPAG - (FOLHA DE PAGAMENTO + RESUMO),,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,APROVADO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,,GFD - GUIA DO FGTS DIGITAL MENSAL,,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,APROVADO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,,GRRF - GUIA DE RECOLHIMENTO RESCISÓRIO DO FGTS,,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,APROVADO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,,KIT RESCISÃO,,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,APROVADO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,,Laudo de Periculosidade,,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,APROVADO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,,Laudo de insalubridade,,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,APROVADO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,NEUTRO,PCMSO,,A vencer,2026-09-15T00:00:00-04:00,REPROVADO
ALPES ENGENHARIA LTDA,04812571000181,APROVADO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,NEUTRO,PGR,,A vencer,2026-09-15T00:00:00-04:00,REPROVADO
ALPES ENGENHARIA LTDA,04812571000181,APROVADO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,,RECIBO DE FÉRIAS + COMPROVANTE DE PAGAMENTO,,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,APROVADO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,,SESMT - composição de acordo com NR 04,,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,APROVADO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,,Seguro de Responsabilidade Civil,,Não anexado,,NÃO ANALISADO
ALPES ENGENHARIA LTDA,04812571000181,APROVADO,PRESTAÇÃO DE SERVIÇOS PARA RECUPERAÇÃO DE PAVIMENTOS NA PISTA,SERVICO,,Seguro garantia,,Não anexado,,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,NEUTRO,Avaliação ergonômica,,N/A,,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,,CERTIDÃO JUDICIAL CRIMINAL - TRF,,Não anexado,,NÃO ANALISADO
AMBIENS CONSULTORIA E PROJETOS AMBIENTAIS LTDA.,04432182000120,EM_ELABORACAO,PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS AMBIENTAIS,SERVICO,,CERTIDÃO JUDICIAL CÍVEL - TRF,,Não anexado,,NÃO ANALISADO
